,movie_id,username,rating
0,10675,JPV852,6.0
1,257346,Ruuz,3.0
2,288,Otokichi786,8.0
3,288,John Chard,10.0
4,288,narrator56,9.0
5,4944,Bazzjazz,8.0
6,419700,Rangan,6.0
7,13768,r96sk,7.0
8,455957,Ruuz,3.0
9,438674,maketheSWITCH,8.0
10,438674,Bertaut,8.0
11,12690,John Chard,8.0
12,384737,r96sk,5.0
13,487083,Ruuz,5.0
14,487083,Kamurai,7.0
15,581726,msbreviews,5.0
16,581726,Kamurai,6.0
17,581726,Geronimo1967,6.0
18,379291,Ruuz,4.0
19,1637,JPV852,8.0
20,1637,Wuchak,6.0
21,473309,Bertaut,7.0
22,473309,narrator56,7.0
23,9086,John Chard,7.0
24,9383,Dark Jedi,6.0
25,9383,John Chard,6.5
26,9383,Ruuz,6.0
27,9383,Kamurai,8.0
28,294272,Frank Ochieng,
29,294272,Rangan,6.0
30,294272,Ruuz,6.0
31,294272,r96sk,8.0
32,96724,brekkil,2.0
33,438799,Ruuz,7.0
34,438799,strontium1968,6.0
35,504949,Splinter,
36,454626,kinglargo,4.0
37,454626,screenzealots,6.0
38,454626,msbreviews,5.0
39,454626,teamelitedev,
40,454626,aardwark69,8.0
41,454626,JPV852,7.0
42,454626,Ruuz,3.0
43,454626,Kamurai,6.0
44,454626,juliarta,10.0
45,76163,poisoned,2.0
46,76163,Dark Jedi,8.0
47,385128,Radio1'sMr.Movie!-MadAmi🌠,8.0
48,385128,garethmb,
49,385128,Peter89Spencer,10.0
50,385128,msbreviews,3.0
51,385128,zmmetz,2.0
52,385128,Mahnoor_Khan,4.0
53,385128,echeng,4.0
54,385128,JPV852,5.0
55,385128,Dark Jedi,8.0
56,385128,Geronimo1967,6.0
57,9694,JPV852,8.0
58,22972,tmdb15690715,
59,22972,debasish.lipu46@gmail.com,
60,22972,Geronimo1967,5.0
61,440021,Ruuz,6.0
62,440021,tmdb44006625,6.0
63,107985,kineticandroid,
64,107985,John Chard,8.0
65,107985,narrator56,6.0
66,402897,Mex5150,
67,402897,Ruuz,6.0
68,10764,Potential Kermode,1.0
69,10764,John Chard,7.0
70,10764,DanDare,7.0
71,10764,JPV852,7.0
72,10764,Wuchak,6.0
73,10764,msbreviews,3.0
74,43593,Ruuz,5.0
75,43593,Dark Jedi,4.0
76,43593,John Chard,7.0
77,2907,Ruuz,6.0
78,517764,Ruuz,5.0
79,258230,Rangan,7.0
80,335787,garethmb,
81,335787,msbreviews,4.0
82,335787,DallasBob,6.0
83,335787,JPV852,7.0
84,395992,Ruuz,6.0
85,395992,007ace,
86,395992,Rangan,7.0
87,395992,mbirth,4.0
88,395992,John Chard,6.0
89,395992,5rJoud,5.0
90,395992,AstroNoud,7.0
91,557968,tmdb44006625,5.0
92,6068,Wuchak,7.0
93,11075,John Chard,7.0
94,9342,John Chard,8.0
95,1587,narrator56,7.0
96,765,John Chard,8.0
97,765,Wuchak,6.0
98,765,tmdb40011370,9.0
99,48186,Kamurai,6.0
100,9886,Kamurai,4.0
101,9886,Geronimo1967,5.0
102,539181,maketheSWITCH,8.0
103,539181,msbreviews,8.0
104,20504,DoryDarko,10.0
105,20504,Geronimo1967,6.0
106,334521,Ruuz,7.0
107,334521,Rangan,7.0
108,334521,EmkEyen,6.0
109,531503,Ruuz,6.0
110,76122,Ruuz,5.0
111,76122,heliosyne,
112,10586,John Chard,7.0
113,10586,sykobanana,9.0
114,579047,FWMAM,8.0
115,579047,JPV852,5.0
116,579047,itsogs,6.0
117,644583,msbreviews,6.0
118,644583,screenzealots,6.0
119,644583,AstroNoud,9.0
120,644583,Geronimo1967,7.0
121,28178,NancyW9,10.0
122,554908,maketheSWITCH,4.0
123,752,schoosskyler,9.0
124,752,JPV852,7.0
125,9039,John Chard,2.0
126,290764,Frank Ochieng,
127,290764,Rangan,6.0
128,9397,John Chard,7.0
129,6844,CatEllington,
130,6844,John Chard,9.0
131,334524,Rangan,8.0
132,820,wizzardss,9.0
133,525661,maketheSWITCH,7.0
134,525661,Bertaut,8.0
135,525661,narrator56,8.0
136,525661,RSOliveira,8.0
137,509635,repojack,7.0
138,267860,Rangan,6.0
139,267860,Ruuz,4.0
140,504608,maketheSWITCH,6.0
141,504608,garethmb,
142,504608,Ruuz,6.0
143,504982,r96sk,7.0
144,18118,John Chard,3.0
145,18118,Wuchak,7.0
146,11881,narrator56,9.0
147,241257,tanty,6.0
148,241257,Rangan,7.0
149,294093,appumon933@gmail.com,5.0
150,315064,Kamurai,7.0
151,410199,Geronimo1967,5.0
152,446696,cityguide,
153,446696,narrator56,7.0
154,446696,qualityfrog,9.0
155,9781,Wuchak,4.0
156,11884,John Chard,7.0
157,11884,JPV852,8.0
158,376865,Gill-Man,9.0
159,376865,naciohr,1.0
160,376865,Bertaut,7.0
161,376865,Geronimo1967,4.0
162,1968,Wuchak,6.0
163,634528,garethmb,
164,634528,screenzealots,
165,8393,narrator56,9.0
166,303858,Simon Foster,
167,303858,Rangan,6.0
168,17038,Ruuz,3.0
169,17038,nairtejas,5.0
170,50359,mminer237,4.0
171,46528,tanty,4.0
172,2757,Ruuz,5.0
173,2757,Geronimo1967,7.0
174,520663,msbreviews,2.0
175,520663,Kamurai,8.0
176,266856,tanty,7.0
177,266856,mattwilde123,7.0
178,266856,Geronimo1967,7.0
179,1271,CRCulver,3.0
180,1271,Ruuz,7.0
181,1271,JPV852,6.0
182,1552,narrator56,9.0
183,41216,Ruuz,5.0
184,120,NeoBrowser,10.0
185,120,gdeveloper,10.0
186,120,Wuchak,7.0
187,120,LadyGreenEyes,8.0
188,120,JPV852,9.0
189,120,narrator56,8.0
190,120,r96sk,10.0
191,530385,bramblebark,7.0
192,530385,maketheSWITCH,6.0
193,530385,Bertaut,7.0
194,530385,msbreviews,7.0
195,530385,Ruuz,5.0
196,530385,dalboz,8.0
197,530385,Wuchak,6.0
198,530385,Geronimo1967,5.0
199,10567,r96sk,7.0
200,513045,maketheSWITCH,6.0
201,513045,JPV852,7.0
202,513045,Ruuz,4.0
203,9362,John Chard,8.0
204,9362,Wuchak,6.0
205,9362,repojack,8.0
206,9362,repojack,8.0
207,9362,nairtejas,8.0
208,9362,JPV852,8.0
209,9362,Geronimo1967,7.0
210,658009,maketheSWITCH,4.0
211,658009,tenorica,
212,2649,tmdb44006625,8.0
213,541099,cvbuc,10.0
214,50014,tanty,9.0
215,50014,DoryDarko,8.0
216,50014,Kamurai,8.0
217,332210,Rangan,7.0
218,332210,r96sk,7.0
219,399796,Ruuz,3.0
220,399796,Ruuz,3.0
221,431112,Ruuz,4.0
222,431112,sibilant,3.0
223,613504,maketheSWITCH,3.0
224,501979,garethmb,
225,501979,maketheSWITCH,8.0
226,501979,Peter89Spencer,10.0
227,10756,Kamurai,6.0
228,388202,Ruuz,4.0
229,6644,John Chard,8.0
230,400157,Kamurai,
231,400710,Frank Ochieng,
232,400710,Ruuz,4.0
233,400710,John Chard,6.0
234,9270,LJ_989,8.5
235,9270,Ayertiam,10.0
236,553610,michaelclaurie,9.0
237,31685,John Chard,9.0
238,31685,Geronimo1967,8.0
239,600583,msbreviews,8.0
240,600583,badelf,3.0
241,600583,bastag,10.0
242,600583,CanadianOranges,4.0
243,600583,Geronimo1967,6.0
244,581600,DathBotyTheJedi,
245,86834,Dark Jedi,4.0
246,86834,TheGSides,
247,19286,Wuchak,7.0
248,19286,Ruuz,3.0
249,75,Kamurai,6.0
250,9257,John Chard,6.0
251,11917,John Chard,4.0
252,282035,panic jr8,1.0
253,282035,Rocketeer Raccoon,3.0
254,282035,Ruuz,3.0
255,282035,Dark Jedi,6.0
256,282035,John Chard,5.0
257,282035,Rangan,6.0
258,282035,Wuchak,7.0
259,282035,r96sk,6.0
260,143,barrymost,9.0
261,680,Wuchak,9.0
262,680,erick_cabral,10.0
263,680,Geronimo1967,7.0
264,295592,Rangan,9.0
265,250124,Rangan,7.0
266,14160,r96sk,8.0
267,14160,Peter89Spencer,9.0
268,294795,Rangan,6.0
269,241848,Ruuz,8.0
270,241848,mattwilde123,7.0
271,399173,Rangan,6.0
272,399173,Ruuz,5.0
273,399173,tmdb15214618,3.0
274,2493,bigbassdrum,10.0
275,744,r96sk,8.0
276,744,msbreviews,7.0
277,559907,msbreviews,8.0
278,559907,narrator56,6.0
279,410718,Rangan,9.0
280,186759,Rangan,3.0
281,186759,Ruuz,3.0
282,413362,r96sk,8.0
283,11675,John Chard,7.0
284,11675,Ruuz,5.0
285,11675,Wuchak,7.0
286,653567,rsanek,4.0
287,740985,repojack,8.0
